Username,Project,Session Start Date,Session Start Time,Session Start Epoch (us),Popup Close Date,Popup Close Time,Popup Close Epoch (us),popup_life
acc,flutter_application_1,2026-01-15,11:51:36.763275,1768470696763275,2026-01-15,12:05:45.529390,1768471545529390,3
acc,flutter_application_1,2026-01-15,12:12:14.489246,1768471934489246,2026-01-15,12:14:14.437927,1768472054437927,2
